Class;Selected?;rule-name;Severity;ISA description;Reason ;
Agent ;Selected; rule-0.rq ;Error;  foaf:name is a required property for Agent;Check DCAT AP 1.1;
Agent ;Selected; rule-113.rq ;Error;  foaf:Agent does not exist;Verbeterde kwaliteit;
Agent ;Selected; rule-1.rq ;Error;  foaf:name should be a literal;Check DCAT AP 1.1;
Agent ;; rule-2.rq ;Warning;  dct:type is a recommended property for Agent;Verbeterde kwaliteit;
Agent ;; rule-3.rq ;;  dct:type should be a skos:Concept;;
Agent  ;; rule-98.rq ;;  dct:type has maximum cardinality of 1 for Agent;;
Catalog ;Selected; rule-112.rq ;Error;  dcat:Catalog does not exist;Verbeterde kwaliteit;
Catalog ;Selected; rule-11.rq ;Error;  dct:publisher should be a foaf:Agent;Check DCAT AP 1.1;
Catalog ;Selected; rule-12.rq ;Error;  dct:title is a required property for Catalog;Check DCAT AP 1.1;
Catalog ;Selected; rule-138.rq ;Warning;  dct:license should be a dct:LicenseDocument;Verbeterde kwaliteit;
Catalog ;Selected; rule-13.rq ;Error;  dct:title should be a literal;Check DCAT AP 1.1;
Catalog ;; rule-14.rq ;Warning;  foaf:homepage is a recommended property for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-15.rq ;Warning;  foaf:homepage has maximum cardinality of 1 for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-17.rq ;Warning;  foaf:homepage should be a foaf:Document;Verbeterde kwaliteit;
Catalog ;; rule-18.rq ;Warning;  dct:language is a recommended property for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-20.rq ;Warning;  dct:language should be a dct:LinguisticSystem;Verbeterde kwaliteit;
Catalog ;; rule-21.rq ;Warning;  dct:license is a recommended property for Catalog;Verbeterde kwaliteit;
Catalog ;Selected; rule-201.rq ;Error;  dct:license is a required property for Catalog;Verbeterde kwaliteit;
Catalog ;Selected; rule-202.rq ;Error;  dct:license for a catalog is CC0 ;Verbeterde kwaliteit;
Catalog ;Selected; rule-23.rq ;Warning;  dct:license has a maximum cardinality of 1 for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-24.rq ;Warning;  dct:issued is a recommended property for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-25.rq ;Warning;  dct:issued should be literal typed as date or dateTime;Verbeterde kwaliteit;
Catalog ;; rule-26.rq ;Warning;  dct:issued has maximum cardinality of 1 for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-30.rq ;Warning;  dcat:record should be a dcat:CatalogRecord;Verbeterde kwaliteit;
Catalog ;; rule-31.rq ;Warning;  dct:modified is a recommended property for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-32.rq ;Warning;  dct:modified should be a literal typed as date or dateTime;Verbeterde kwaliteit;
Catalog ;; rule-33.rq ;Warning;  dct:modified has maximum cardinality of 1 for Catalog;Verbeterde kwaliteit;
Catalog ;Selected; rule-4.rq ;Error;  dcat:dataset is a required property for Catalog;Check DCAT AP 1.1;
Catalog ;Selected; rule-5.rq ;Error;  dcat:dataset should be a dcat:Dataset;Check DCAT AP 1.1;
Catalog ;Selected; rule-6.rq ;Error;  dct:description is a required property for Catalog;Check DCAT AP 1.1;
Catalog ;Selected; rule-7.rq ;Error;  dct:description should be a literal;Check DCAT AP 1.1;
Catalog ;Selected; rule-8.rq ;Error;  dct:publisher is a required property for Catalog;Check DCAT AP 1.1;
Catalog ;Selected; rule-209.rq ;Error;  dct:title has a language tag ;Bijlage 3;
Catalog ;Selected; rule-208.rq ;Error;  dct:description has a language tag ;Bijlage 3;
CatalogRecord ;   ; rule-119.rq ;;  foaf:primaryTopic is a required property for Catalog Record;;
CatalogRecord ;   ; rule-120.rq ;;  dct:modified is a required property for Catalog Record;;
CatalogRecord ;   ; rule-121.rq ;;  foaf:primaryTopic has a maximum cardinality of 1 for Catalog Record;;
