Agent ; M ; rule-0.rq ; [Agent ] ;  foaf:name is a required property for Agent
Agent ; M ; rule-113.rq ; [Agent ] ;  foaf:Agent does not exist
Agent ; M ; rule-1.rq ; [Agent ] ;  foaf:name should be a literal
Agent ; M ; rule-2.rq ; [Agent ] ;  dct:type is a recommended property for Agent
Agent ; M ; rule-3.rq ; [Agent ] ;  dct:type should be a skos:Concept
Agent  ;; rule-98.rq ; [Agent ] ;  dct:type has maximum cardinality of 1 for Agent
Catalog ; M ; rule-112.rq ; [Catalog ] ;  dcat:Catalog does not exist
Catalog ; M ; rule-11.rq ; [Catalog ] ;  dct:publisher should be a foaf:Agent
Catalog ; M ; rule-12.rq ; [Catalog ] ;  dct:title is a required property for Catalog
Catalog ; M ; rule-138.rq ; [Catalog ] ;  dct:license should be a dct:LicenseDocument
Catalog ; M ; rule-13.rq ; [Catalog ] ;  dct:title should be a literal
Catalog ; M ; rule-14.rq ; [Catalog ] ;  foaf:homepage is a recommended property for Catalog
Catalog ; M ; rule-15.rq ; [Catalog ] ;  foaf:homepage has maximum cardinality of 1 for Catalog
Catalog ; M ; rule-17.rq ; [Catalog ] ;  foaf:homepage should be a foaf:Document
Catalog ; M ; rule-18.rq ; [Catalog ] ;  dct:language is a recommended property for Catalog
Catalog ; M ; rule-20.rq ; [Catalog ] ;  dct:language should be a dct:LinguisticSystem
Catalog ; M ; rule-21.rq ; [Catalog ] ;  dct:license is a recommended property for Catalog
Catalog ; M ; rule-23.rq ; [Catalog ] ;  dct:license has a maximum cardinality of 1 for Catalog
Catalog ; M ; rule-24.rq ; [Catalog ] ;  dct:issued is a recommended property for Catalog
Catalog ; M ; rule-25.rq ; [Catalog ] ;  dct:issued should be literal typed as date or dateTime
Catalog ; M ; rule-26.rq ; [Catalog ] ;  dct:issued has maximum cardinality of 1 for Catalog
Catalog ; M ; rule-30.rq ; [Catalog ] ;  dcat:record should be a dcat:CatalogRecord
Catalog ; M ; rule-31.rq ; [Catalog ] ;  dct:modified is a recommended property for Catalog
Catalog ; M ; rule-32.rq ; [Catalog ] ;  dct:modified should be a literal typed as date or dateTime
Catalog ; M ; rule-33.rq ; [Catalog ] ;  dct:modified has maximum cardinality of 1 for Catalog
Catalog ; M ; rule-4.rq ; [Catalog ] ;  dcat:dataset is a required property for Catalog
Catalog ; M ; rule-5.rq ; [Catalog ] ;  dcat:dataset should be a dcat:Dataset
Catalog ; M ; rule-6.rq ; [Catalog ] ;  dct:description is a required property for Catalog
Catalog ; M ; rule-7.rq ; [Catalog ] ;  dct:description should be a literal
Catalog ; M ; rule-8.rq ; [Catalog ] ;  dct:publisher is a required property for Catalog
CatalogRecord ; M ; rule-119.rq ; [Catalog Record ] ;  foaf:primaryTopic is a required property for Catalog Record
CatalogRecord ; M ; rule-120.rq ; [Catalog Record ] ;  dct:modified is a required property for Catalog Record
CatalogRecord ; M ; rule-121.rq ; [Catalog Record ] ;  foaf:primaryTopic has a maximum cardinality of 1 for Catalog Record
CatalogRecord ; M ; rule-127.rq ; [Catalog Record ] ;  dct:issued has a maximum cardinality of 1 for dcat:Catalog Record
CatalogRecord ; M ; rule-142.rq ; [Catalog Record ] ;  foaf:primaryTopic should be a dcat:Dataset
CatalogRecord ; M ; rule-143.rq ; [Catalog Record ] ;  dct:modified should be a literal typed as date or dateTime
CatalogRecord ; M ; rule-146.rq ; [Catalog Record ] ;  dct:issued is a recommended property for Catalog Record
CatalogRecord ; M ; rule-147.rq ; [Catalog Record ] ;  dct:issued should be a literal typed as date or dateTime
CatalogRecord  ;; rule-122.rq ; [Catalog Record ] ;  dct:modified has a maximum cardinality of 1 for Catalog Record
CatalogRecord  ;; rule-123.rq ; [Catalog Record ] ;  dct:conformsTo has a maximum cardinality of 1 for Catalog Record
CatalogRecord  ;; rule-124.rq ; [Catalog Record ] ;  dct:conformsTo should be a resource
CatalogRecord  ;; rule-125.rq ; [Catalog Record ] ;  adms:status has a maximum cardinality of 1 for Catalog Record
CatalogRecord  ;; rule-126.rq ; [Catalog Record ] ;  adms:status should be a skos:Concept
CatalogRecord  ;; rule-128.rq ; [Catalog Record ] ;  dct:source should be a dcat:CatalogRecord
CatalogRecord  ;; rule-129.rq ; [Catalog Record ] ;  dct:source has a maximum cardinality of 1 for Catalog Record
CatalogRecord  ;; rule-131.rq ; [Catalog Record ] ;  dct:language should be a dct:LinguisticSystem
